Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000017,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013619,IPI DM0000017_JAN 01,,IBIDEN,,,DM001,2,USD1,"-7,255.37","-394,692.13",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000018,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013620,IPI DM0000018_JAN 02,,IBIDEN,,,DM001,2,USD1,"-4,363.24","-237,360.26",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000019,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013621,IPI DM0000019_JAN 03,,IBIDEN,,,DM001,2,USD1,-202.69,"-11,026.34",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000020,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013622,IPI DM0000020_JAN 04,,IBIDEN,,,DM001,2,USD1,"-2,827.33","-153,806.75",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000021,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013623,IPI DM0000021_JAN 05,,IBIDEN,,,DM001,2,USD1,"-7,711.26","-419,492.54",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000022,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013624,IPI DM0000022_JAN 06,,IBIDEN,,,DM001,2,USD1,"-4,398.06","-239,254.46",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000023,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013625,IPI DM0000023_JAN 07,,IBIDEN,,,DM001,2,USD1,-169.68,"-9,230.59",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000024,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013626,IPI DM0000024_JAN 08,,IBIDEN,,,DM001,2,USD1,"-2,717.67","-147,841.25",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000025,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013627,IPI DM0000025_JAN 09,,IBIDEN,,,DM001,2,USD1,"-9,164.88","-498,569.47",,OVAT-N,1.0,
SUCCESS,H1,2023-01-30,2023-01-30,2023-02-10,DM# 0000026,PI069-C,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100013628,IPI DM0000026_JAN 10,,IBIDEN,,,DM001,2,USD1,-486.41,"-26,460.70",,OVAT-N,1.0,
