Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,SAP DocEntry
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100010974,,,CD231171,,,PM196,2,PHP,"-10,491,542.46","-10,491,542.46",DOM88.,OVAT-N,224.5,KL,10857
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100010975,,,CD231171,,,PM196,2,PHP,"-1,902,629.67","-1,902,629.67",DOMEN98,OVAT-N,40.8,KL,10858
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100010976,,,CD231171,,,PM196,2,PHP,"-6,259,060.00","-6,259,060.00",DOMRG,OVAT-N,134.7,KL,10859
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100011010,WRONG DATE,,CD231171,,,PM196,2,PHP,"10,491,542.46","10,491,542.46",DOM88.,OVAT-N,224.5,KL,10860
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100011011,WRONG DATE,,CD231171,,,PM196,2,PHP,"1,902,629.67","1,902,629.67",DOMEN98,OVAT-N,40.8,KL,10861
POSTED,RV,2023-12-05,2023-12-05,2023-12-05,CDPM19601,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100011012,WRONG DATE,,CD231171,,,PM196,2,PHP,"6,259,060.00","6,259,060.00",DOMRG,OVAT-N,134.7,KL,10862
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPO0521M1,PO052-C,OASIS PRIME OIL INC.,30001,CD12,PET2,100012238,,,CD231246,,,PO052,2,PHP,"-1,689,285.71","-1,689,285.71",DOMB2,OVAT-N,40.0,KL,10863
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPO0521M1,PO052-C,OASIS PRIME OIL INC.,30001,CD12,PET2,100012239,,,CD231246,,,PO052,2,PHP,"-1,653,571.43","-1,653,571.43",DOMB2,OVAT-N,40.0,KL,10864
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPD0851M1,PD085-C,D. DE LEON ENTERPRISES,30001,CD12,PET2,100012302,,,CD122356,,,PD085,2,PHP,"-5,160,292.85","-5,160,292.85",DOM88.,OVAT-N,98.78,KL,10865
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPD0851M1,PD085-C,D. DE LEON ENTERPRISES,30001,CD12,PET2,100012303,,,CD122356,,,PD085,2,PHP,"-2,242,615.71","-2,242,615.71",DOMEN98,OVAT-N,45.9,KL,10866
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPD0851M1,PD085-C,D. DE LEON ENTERPRISES,30001,CD12,PET2,100012304,,,CD122356,,,PD085,2,PHP,"-14,583,520.00","-14,583,520.00",DOMRG,OVAT-N,305.32,KL,10867
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPF1221M1,PF122-C,FASTSIDE HAULING SERVICES,30001,CD12,PET2,100012305,,,CD122357,,,PF122,2,PHP,"-61,104,089.28","-61,104,089.28",DOM88.,OVAT-N,1347.0,KL,10868
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPF1221M1,PF122-C,FASTSIDE HAULING SERVICES,30001,CD12,PET2,100012306,,,CD122357,,,PF122,2,PHP,"-6,940,553.57","-6,940,553.57",DOMEN98,OVAT-N,153.0,KL,10869
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPH0651M1,PH065-C,HEBRON CORPORATION,30001,CD12,PET2,100012307,,,CD122358,,,PH065,2,PHP,"-39,961,016.03","-39,961,016.03",DOM88.,OVAT-N,924.94,KL,10870
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPH0651M1,PH065-C,HEBRON CORPORATION,30001,CD12,PET2,100012308,,,CD122358,,,PH065,2,PHP,"-6,882,872.57","-6,882,872.57",DOMEN98,OVAT-N,158.304,KL,10871
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPH0651M1,PH065-C,HEBRON CORPORATION,30001,CD12,PET2,100012309,,,CD122358,,,PH065,2,PHP,"-20,635,254.25","-20,635,254.25",DOMRG,OVAT-N,468.756,KL,10872
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPL0791M2,PL079-C,LB RAMOS PETROLEUM CORPORATION,30001,CD12,PET2,100012310,,,CD122359,,,PL079,2,PHP,"-32,826,614.50","-32,826,614.50",DOM88.,OVAT-N,725.584,KL,10873
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPL0791M2,PL079-C,LB RAMOS PETROLEUM CORPORATION,30001,CD12,PET2,100012311,,,CD122359,,,PL079,2,PHP,"-5,592,503.35","-5,592,503.35",DOMEN98,OVAT-N,123.216,KL,10874
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPL0791M2,PL079-C,LB RAMOS PETROLEUM CORPORATION,30001,CD12,PET2,100012312,,,CD122359,,,PL079,2,PHP,"-16,409,346.42","-16,409,346.42",DOMRG,OVAT-N,359.2,KL,10875
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPK0691M2,PK069-C,KKK TURBO FUEL CORPORATION,30001,CD12,PET2,100012313,,,CD122360,,,PK069,2,PHP,"-23,440,205.35","-23,440,205.35",DOM88.,OVAT-N,520.84,KL,10876
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPK0691M2,PK069-C,KKK TURBO FUEL CORPORATION,30001,CD12,PET2,100012314,,,CD122360,,,PK069,2,PHP,"-2,662,473.21","-2,662,473.21",DOMEN98,OVAT-N,59.16,KL,10877
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPO0521M3,PO052-C,OASIS PRIME OIL INC.,30001,CD12,PET2,100012317,,,CD122362,,,PO052,2,PHP,"-9,542,067.82","-9,542,067.82",DOM88.,OVAT-N,208.336,KL,10878
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPO0521M3,PO052-C,OASIS PRIME OIL INC.,30001,CD12,PET2,100012318,,,CD122362,,,PO052,2,PHP,"-1,143,951.85","-1,143,951.85",DOMEN98,OVAT-N,24.888,KL,10879
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPO0521M3,PO052-C,OASIS PRIME OIL INC.,30001,CD12,PET2,100012319,,,CD122362,,,PO052,2,PHP,"-529,194.60","-529,194.60",DOMRG,OVAT-N,10.776,KL,10880
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPC1581M1,PC158-C,CLEAN FUEL AUTOGAS INC.,30001,CD12,PET2,100012320,,,CD122363,,,PC158,2,PHP,"-897,198.21","-897,198.21",DOM88.,OVAT-N,19.756,KL,10881
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPC1581M1,PC158-C,CLEAN FUEL AUTOGAS INC.,30001,CD12,PET2,100012321,,,CD122363,,,PC158,2,PHP,"-120,578.57","-120,578.57",DOMEN98,OVAT-N,2.652,KL,10882
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPC1581M1,PC158-C,CLEAN FUEL AUTOGAS INC.,30001,CD12,PET2,100012322,,,CD122363,,,PC158,2,PHP,"-164,366.07","-164,366.07",DOMRG,OVAT-N,3.592,KL,10883
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPR1091M1,PR109-C,RAEL KITZ CORPORATION,30001,CD12,PET2,100012323,,,CD122364,,,PR109,2,PHP,"-20,039,511.42","-20,039,511.42",DOM88.,OVAT-N,441.816,KL,10884
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPR1091M1,PR109-C,RAEL KITZ CORPORATION,30001,CD12,PET2,100012324,,,CD122364,,,PR109,2,PHP,"-3,443,119.28","-3,443,119.28",DOMEN98,OVAT-N,75.888,KL,10885
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPR1091M1,PR109-C,RAEL KITZ CORPORATION,30001,CD12,PET2,100012325,,,CD122364,,,PR109,2,PHP,"-10,273,440.71","-10,273,440.71",DOMRG,OVAT-N,226.296,KL,10886
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1961M2,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100012326,,,CD122365,,,PM196,2,PHP,"-45,065,969.64","-45,065,969.64",DOM88.,OVAT-N,1009.352,KL,10887
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1961M2,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100012327,,,CD122365,,,PM196,2,PHP,"-7,507,473.21","-7,507,473.21",DOMEN98,OVAT-N,167.688,KL,10888
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1961M2,PM196-C,MANILA KLEAN FUEL CORP.,30001,CD12,PET2,100012328,,,CD122365,,,PM196,2,PHP,"-21,029,235.71","-21,029,235.71",DOMRG,OVAT-N,466.96,KL,10889
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1711M1,PM171-C,"MAWAB RESOURCES, INC. -",30001,CD12,PET2,100012329,,,CD122366,,,PM171,2,PHP,"-2,119,119.64","-2,119,119.64",DOM88.,OVAT-N,45.798,KL,10890
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1711M1,PM171-C,"MAWAB RESOURCES, INC. -",30001,CD12,PET2,100012330,,,CD122366,,,PM171,2,PHP,"-269,225.35","-269,225.35",DOMEN98,OVAT-N,5.814,KL,10891
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM1711M1,PM171-C,"MAWAB RESOURCES, INC. -",30001,CD12,PET2,100012331,,,CD122366,,,PM171,2,PHP,"-251,119.28","-251,119.28",DOMRG,OVAT-N,5.388,KL,10892
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPA2181M1,PA218-C,ATLANTA FUEL STATION NUEVA ECIJA,30001,CD12,PET2,100012332,,,CD122367,,,PA218,2,PHP,"-1,042,321.42","-1,042,321.42",DOM88.,OVAT-N,23.348,KL,10893
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPA2181M1,PA218-C,ATLANTA FUEL STATION NUEVA ECIJA,30001,CD12,PET2,100012333,,,CD122367,,,PA218,2,PHP,"-182,652.85","-182,652.85",DOMEN98,OVAT-N,4.08,KL,10894
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPA2181M1,PA218-C,ATLANTA FUEL STATION NUEVA ECIJA,30001,CD12,PET2,100012334,,,CD122367,,,PA218,2,PHP,"-565,740.00","-565,740.00",DOMRG,OVAT-N,12.572,KL,10895
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM2201M1,PM220-C,MAXI OIL CARRIER CORPORATION,30001,CD12,PET2,100012335,,,CD122368,,,PM220,2,PHP,"-487,806.42","-487,806.42",DOM88.,OVAT-N,10.776,KL,10896
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM2201M1,PM220-C,MAXI OIL CARRIER CORPORATION,30001,CD12,PET2,100012336,,,CD122368,,,PM220,2,PHP,"-92,637.85","-92,637.85",DOMEN98,OVAT-N,2.04,KL,10897
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPM2201M1,PM220-C,MAXI OIL CARRIER CORPORATION,30001,CD12,PET2,100012337,,,CD122368,,,PM220,2,PHP,"-327,770.00","-327,770.00",DOMRG,OVAT-N,7.184,KL,10898
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPT1571M1,PT157-C,T & D CORPORATION,30001,CD12,PET2,100012338,,,CD122369,,,PT157,2,PHP,"-731,709.64","-731,709.64",DOM88.,OVAT-N,16.164,KL,10899
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPT1571M1,PT157-C,T & D CORPORATION,30001,CD12,PET2,100012339,,,CD122369,,,PT157,2,PHP,"-83,111.78","-83,111.78",DOMEN98,OVAT-N,1.836,KL,10900
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPR1221M1,PR122-C,RPP GASOLINE STATION,30001,CD12,PET2,100012340,,,CD122370,,,PR122,2,PHP,"-2,405,357.14","-2,405,357.14",DOM88.,OVAT-N,53.88,KL,10901
POSTED,RV,2023-12-29,2023-12-29,2023-12-29,CDPR1221M1,PR122-C,RPP GASOLINE STATION,30001,CD12,PET2,100012341,,,CD122370,,,PR122,2,PHP,"-273,214.28","-273,214.28",DOMEN98,OVAT-N,6.12,KL,10902
