Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
CTRL ACCT,H9,20231201,20231201,20240331,FY2023,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,11310,HB02,ADMI,100010588,SPACE RENTAL,,RENTAL,,,,1,PHP,"77,115.09","77,115.09",,,0.0,,,
SUCCESS,H9,20231201,20231201,20231201,FY2023,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,30211,HB02,ADMI,100010588,SPACE RENTAL,,RENTAL,,,,2,PHP,"-68,852.76","-68,852.76",,True,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331,SPACE RENTAL,PP227,PIC ASIA-PACIFIC SDN. BHD (PHILIPPINE BR,11310,HB02,ADMI,100010589,SPACE RENTAL FY2023,,BS000346,,,,1,PHP,"11,263.08","11,263.08",,,0.0,,,
SUCCESS,H9,20231201,20231201,20231201,SPACE RENTAL,PP227,PIC ASIA-PACIFIC SDN. BHD (PHILIPPINE BR,30211,HB02,ADMI,100010589,SPACE RENTAL FY2023,,BS000346,,,,2,PHP,"-10,056.32","-10,056.32",,True,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331,SPACE RENTAL,MW350,MARUBENI CORPORATION -,11310,HB02,ADMI,100010590,SPACE RENTAL 2023,,FY2023,,,,1,PHP,"65,312.69","65,312.69",,,0.0,,,
SUCCESS,H9,20231201,20231201,20231201,SPACE RENTAL,MW350,MARUBENI CORPORATION -,30211,HB02,ADMI,100010590,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-58,314.90","-58,314.90",,True,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331,FY2023,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",11310,HB02,ADMI,100010597,SPACE RENTAL 2023,,RENTAL,,,,1,PHP,"22,400.00","22,400.00",,,0.0,,,
SUCCESS,H9,20231201,20231201,20231201,FY2023,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",30211,HB02,ADMI,100010597,SPACE RENTAL 2023,,RENTAL,,,,2,PHP,"-20,000.00","-20,000.00",,True,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331,MONTH/FY23,B2R0,MARUBENI CORPORATION HEALTHCARE & MEDICA,11310,CK01,MEDI LINX,100010599,SERVICE FEE MONTHLY,,SERVICE,,,,1,USD,"6,833.34","378,567.04",,,0.0,,55.4,
SUCCESS,H9,20231201,20231201,20231201,MONTH/FY23,B2R0,MARUBENI CORPORATION HEALTHCARE & MEDICA,30212,CK01,MEDI LINX,100010599,SERVICE FEE MONTHLY,,SERVICE,,,,2,USD,"-6,833.34","-378,567.04",,False,0.0,,55.4,
CTRL ACCT,H9,20231201,20231201,20240331,SPACE RENTAL,4Q04P,MCNK JV CORPORATION,11310,HB02,ADMI,100010600,SPACE RENTAL 2023,,FY2023,,,,1,PHP,"130,665.29","130,665.29",,,0.0,,,
SUCCESS,H9,20231201,20231201,20231201,SPACE RENTAL,4Q04P,MCNK JV CORPORATION,30211,HB02,ADMI,100010600,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-116,665.44","-116,665.44",,True,0.0,,,
CTRL ACCT,H1,20231207,20231207,20231229,R&D-DEC-2023,B8J1,MARUBENI CORPORATION TRANSPORT INFRASTRU,11310,MD12,MAC5,100011474,R&D-DEC-2023-B8J1,,23-Dec,,,,1,USD,"58,084.00","3,212,045.20",,,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229,R&D-DEC-2023,B8J1,MARUBENI CORPORATION TRANSPORT INFRASTRU,30212,MD12,MAC5,100011474,R&D-DEC-2023-B8J1,,23-Dec,,,,2,USD,"-58,084.00","-3,212,045.20",,False,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229,R&D-DEC-2023,B3AK,MARUBENI CORPORATION *,11310,MD13,MAC6,100011475,R&D-DEC-2023-B3AK,,23-Dec,,,,1,USD,"1,667.00","92,185.10",,,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229,R&D-DEC-2023,B3AK,MARUBENI CORPORATION *,30212,MD13,MAC6,100011475,R&D-DEC-2023-B3AK,,23-Dec,,,,2,USD,"-1,667.00","-92,185.10",,False,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229,R&D-DEC-2023,B8BK,MARUBENI CORPORATION *,11310,MD14,MAC7,100011476,R&D-DEC-2023-B8BK,,23-Dec,,,,1,USD,"3,250.00","179,725.00",,,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229,R&D-DEC-2023,B8BK,MARUBENI CORPORATION *,30212,MD14,MAC7,100011476,R&D-DEC-2023-B8BK,,23-Dec,,,,2,USD,"-3,250.00","-179,725.00",,False,0.0,,55.3,
