Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,SAP Doc Entry,SAP Obj Type,rate
3_CASH,QO,20231211,20231211,20231211.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011512,,NECD123Z0062,100011512,nan,,,1,USD,0.0,77275.84,,,55.3
3_CASH,QO,20231211,20231211,20231211.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011512,,NECD123Z0062,100011512,nan,,,2,USD,0.0,1114.09,,,55.3
3_CASH,QO,20231213,20231212,20240112.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011557,,NECD123Z0063,100011557,nan,,,1,USD,0.0,4754.18,,,55.3
3_CASH,QO,20231213,20231212,20240112.0,,M186J,"MARUBENI PETROLEUM CO., LTD. -",33331,CD12,PET2,100011557,,NECD123Z0063,100011557,nan,,,1,USD,0.0,4754.18,,,55.3
3_CASH,QO,20231229,20231229,20231229.0,,4Q958,SAN ROQUE POWER CORP -,33333,MA11,MAC1,100012065,"BS76, BS147, BS235",NEMA11410001,100012065,nan,,,2,USD,0.0,2881.0,,,55.71072
3_CASH,QO,20231229,20231229,20231229.0,,4Q958,SAN ROQUE POWER CORP -,33333,MA11,MAC1,100012065,"BS76, BS147, BS235",NEMA11410001,100012065,nan,,,3,USD,0.0,-602.0,,,55.71072
3_CASH,QO,20231229,20231229,20231229.0,,4Q958,SAN ROQUE POWER CORP -,33333,MA11,MAC1,100012065,"BS76, BS147, BS235",NEMA11410001,100012065,nan,,,4,USD,0.0,-1003.33,,,55.71072
3_CASH,QO,20231229,20231229,20231229.0,,MZ320,MARUBENI ASEAN PTE. LTD.,33333,CA18,CHM8,100012265,BS180,NECA18410001,100012265,nan,,,1,USD,0.0,-116.28,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",33331,CF16,FOOD2B,100012266,BS248,NECF16410001,100012266,nan,,,2,USD,0.0,406.28,,,55.55906
3_CASH,QO,20231229,20231229,20231130.0,,MJ028,MARUBENI PLAX CORP.,33333,CA19,CHM9,100012267,BS21,NECA19410001,100012267,nan,,,2,USD,0.0,1270.5,,,55.57277
3_CASH,QO,20231229,20231229,20231227.0,,MJ006,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,1,USD,0.0,810.19,,,55.55
3_CASH,QO,20231229,20231229,20231227.0,,MJ006,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,2,USD,0.0,824.2,,,55.55
3_CASH,QO,20231229,20231229,20231227.0,,MJ006,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,3,USD,0.0,398.4,,,55.55
3_CASH,QO,20231229,20231229,20231227.0,,MJ006,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,4,USD,0.0,158.7,,,55.55
3_CASH,QO,20231229,20231229,20231227.0,,MJ006,MARUBENI TETSUGEN,33333,CC15,MET4,100012268,BS26,NECC15410001,100012268,nan,,,5,USD,0.0,1419.11,,,55.55
3_CASH,QO,20231229,20231229,20231031.0,,MJ028,MARUBENI PLAX CORP.,33331,CA19,CHM9,100012269,BS65,NECA19410002,100012269,nan,,,1,USD,0.0,336.89,,,55.55001
3_CASH,QO,20231229,20231229,20231229.0,,MJ037,"MARUBENI ECO MATERIALS CO., LTD.",33333,CC18,MET7,100012271,BS178 1018,NECC18410001,100012271,nan,,,1,USD,0.0,872.16,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,MJ037,"MARUBENI ECO MATERIALS CO., LTD.",33333,CC18,MET7,100012271,BS178 1018,NECC18410001,100012271,nan,,,2,USD,0.0,-153.59,,,55.55
3_CASH,QO,20231229,20231229,20231130.0,,MZ320,MARUBENI ASEAN PTE. LTD.,33333,CA12,CHM2,100012272,BS20 179,NECA12410001,100012272,nan,,,1,USD,0.0,109.2,,,55.55
3_CASH,QO,20231229,20231229,20231130.0,,MZ320,MARUBENI ASEAN PTE. LTD.,33333,CA12,CHM2,100012272,BS20 179,NECA12410001,100012272,nan,,,2,USD,0.0,109.2,,,55.55
3_CASH,QO,20231229,20231229,20231130.0,,MZ320,MARUBENI ASEAN PTE. LTD.,33333,CA12,CHM2,100012272,BS20 179,NECA12410001,100012272,nan,,,3,USD,0.0,436.8,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,MZ320,MARUBENI ASEAN PTE. LTD.,33333,CA12,CHM2,100012272,BS20 179,NECA12410001,100012272,nan,,,4,USD,0.0,-93.6,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,S434V,CLS CORPORATION,33331,CG12,LFS3,100012273,BS182 255 270,NECG12410001,100012273,nan,,,2,USD,0.0,88.84,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,S434V,CLS CORPORATION,33331,CG12,LFS3,100012273,BS182 255 270,NECG12410001,100012273,nan,,,3,USD,0.0,38.57,,,55.55
3_CASH,QO,20231229,20231229,20231229.0,,S434V,CLS CORPORATION,33333,CG12,LFS3,100012273,BS182 255 270,NECG12410001,100012273,nan,,,1,USD,0.0,-806.68,,,55.55
