Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
CTRL ACCT,H9,20231201,20231201,20240331.0,FY2023,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,11310,HB02,ADMI,100010588,SPACE RENTAL,,RENTAL,,,,1,PHP,"77,115.09","77,115.09",,5,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331.0,SPACE RENTAL,PP227,PIC ASIA-PACIFIC SDN. BHD (PHILIPPINE BR,11310,HB02,ADMI,100010589,SPACE RENTAL FY2023,,BS000346,,,,1,PHP,"11,263.08","11,263.08",,5,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331.0,SPACE RENTAL,MW350,MARUBENI CORPORATION -,11310,HB02,ADMI,100010590,SPACE RENTAL 2023,,FY2023,,,,1,PHP,"65,312.69","65,312.69",,5,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331.0,FY2023,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",11310,HB02,ADMI,100010597,SPACE RENTAL 2023,,RENTAL,,,,1,PHP,"22,400.00","22,400.00",,5,0.0,,,
CTRL ACCT,H9,20231201,20231201,20240331.0,MONTH/FY23,B2R0,MARUBENI CORPORATION HEALTHCARE & MEDICA,11310,CK01,MEDI LINX,100010599,SERVICE FEE MONTHLY,,SERVICE,,,,1,USD,"6,833.34","378,567.04",,5,0.0,,55.4,
CTRL ACCT,H9,20231201,20231201,20240331.0,SPACE RENTAL,4Q04P,MCNK JV CORPORATION,11310,HB02,ADMI,100010600,SPACE RENTAL 2023,,FY2023,,,,1,PHP,"130,665.29","130,665.29",,5,0.0,,,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8J1,MARUBENI CORPORATION TRANSPORT INFRASTRU,11310,MD12,MAC5,100011474,R&D-DEC-2023-B8J1,,23-Dec,,,,1,USD,"58,084.00","3,212,045.20",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B3AK,MARUBENI CORPORATION *,11310,MD13,MAC6,100011475,R&D-DEC-2023-B3AK,,23-Dec,,,,1,USD,"1,667.00","92,185.10",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8BK,MARUBENI CORPORATION *,11310,MD14,MAC7,100011476,R&D-DEC-2023-B8BK,,23-Dec,,,,1,USD,"3,250.00","179,725.00",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8CK,MARUBENI CORPORATION *,11310,MD15,MAC8,100011477,R&D-DEC-2023-B8CK,,23-Dec,,,,1,USD,"1,584.00","87,595.20",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8EK,MARUBENI CORPORATION *,11310,MD16,MAC9,100011478,R&D-DEC-2023-B8EK,,23-Dec,,,,1,USD,"51,667.00","2,857,185.10",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B88K,MARUBENI CORPORATION *,11310,MD17,MAC10,100011479,R&D-DEC-2023-B88K,,23-Dec,,,,1,USD,"4,167.00","230,435.10",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B65K,MARUBENI CORPORATION *,11310,MD18,MAC11,100011480,R&D-DEC-2023-B65K,,23-Dec,,,,1,USD,"2,500.00","138,250.00",,5,0.0,,55.3,
CTRL ACCT,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B2PK,MARUBENI CORPORATION *,11310,MD19,MAC12,100011481,R&D-DEC-2023-B2PK,,23-Dec,,,,1,USD,834,"46,120.20",,5,0.0,,55.3,
