Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8J1,MARUBENI CORPORATION TRANSPORT INFRASTRU,30212,MD12,MAC5,100011474,R&D-DEC-2023-B8J1,,23-Dec,,,,2,USD,"-58,084.00","-3,212,045.20",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B3AK,MARUBENI CORPORATION *,30212,MD13,MAC6,100011475,R&D-DEC-2023-B3AK,,23-Dec,,,,2,USD,"-1,667.00","-92,185.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8BK,MARUBENI CORPORATION *,30212,MD14,MAC7,100011476,R&D-DEC-2023-B8BK,,23-Dec,,,,2,USD,"-3,250.00","-179,725.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8CK,MARUBENI CORPORATION *,30212,MD15,MAC8,100011477,R&D-DEC-2023-B8CK,,23-Dec,,,,2,USD,"-1,584.00","-87,595.20",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B8EK,MARUBENI CORPORATION *,30212,MD16,MAC9,100011478,R&D-DEC-2023-B8EK,,23-Dec,,,,2,USD,"-51,667.00","-2,857,185.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B88K,MARUBENI CORPORATION *,30212,MD17,MAC10,100011479,R&D-DEC-2023-B88K,,23-Dec,,,,2,USD,"-4,167.00","-230,435.10",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B65K,MARUBENI CORPORATION *,30212,MD18,MAC11,100011480,R&D-DEC-2023-B65K,,23-Dec,,,,2,USD,"-2,500.00","-138,250.00",,5,0.0,,55.3,
SUCCESS,H1,20231207,20231207,20231229.0,R&D-DEC-2023,B2PK,MARUBENI CORPORATION *,30212,MD19,MAC12,100011481,R&D-DEC-2023-B2PK,,23-Dec,,,,2,USD,-834,"-46,120.20",,5,0.0,,55.3,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,PP227,PIC ASIA-PACIFIC SDN. BHD (PHILIPPINE BR,30211,HB02,ADMI,100010589,SPACE RENTAL FY2023,,BS000346,,,,2,PHP,"-10,056.32","-10,056.32",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,4Q04P,MCNK JV CORPORATION,30211,HB02,ADMI,100010600,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-116,665.44","-116,665.44",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,SPACE RENTAL,MW350,MARUBENI CORPORATION -,30211,HB02,ADMI,100010590,SPACE RENTAL 2023,,FY2023,,,,2,PHP,"-58,314.90","-58,314.90",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,FY2023,4Q07H,"MARUBENI AUTO HOLDINGS PHILIPPINES, INC.",30211,HB02,ADMI,100010597,SPACE RENTAL 2023,,RENTAL,,,,2,PHP,"-20,000.00","-20,000.00",,5,0.0,,,
SUCCESS,H9,20231201,20231201,,FY2023,PM175,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,30211,HB02,ADMI,100010588,SPACE RENTAL,,RENTAL,,,,2,PHP,"-68,852.76","-68,852.76",,5,0.0,,,
SUCCESS,H1,20231207,20231207,20231229.0,R&D DEC2023,B770,MARUBENI CORPORATION PETROCHEMICALS & PL,30212,CA11,CHM1,100011490,R&D COMMISSION,,SERVICE,,,,2,USD,"-2,050.00","-113,365.00",,5,0.0,,55.3,
