Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,SAP Doc Entry,SAP Obj Type,rate
SUCCESS,QE,2023-07-26,2023-07-25,2023-07-25,,GV011-C,JAPANESE CHAMBER OF COMMERCE & INDUSTRY,14112,HB01,PREA/POFC,100004793,REBOOKING OF MNL-CGK,,100004793,100004793,20230726.0,,2,PHP,-12800.41,-12800.41,4271,13,1
SUCCESS,QO,2023-08-17,2023-08-15,2023-08-15,,PI069-C,IBIDEN PHILIPPINES INC. -,11310,MC14,MAC14,100005971,11AUG2023_OR 10354,,100005971,100005971,20230817.0,,3,USD,-1658.5,-91632.13,4255,13,56.818
SUCCESS,QO,2023-08-18,2023-08-18,2023-08-18,,PM175-C,MARUBENI-ITOCHU STEEL PTE LTD - MANILA B,11310,HB02,ADMI,100005987,BS00000882,,100005987,100005987,20230818.0,,3,PHP,-77115.09,-77115.09,4304,13,1
SUCCESS,QO,2023-08-22,2023-08-22,2023-08-22,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100006017,BS00000864,,100006017,100006017,20230822.0,,3,PHP,-25413.28,-25413.28,4282,13,1
SUCCESS,QO,2023-08-22,2023-08-22,2023-08-22,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100006018,BS00000865,,100006018,100006018,20230822.0,,3,PHP,-1935.84,-1935.84,4286,13,1
SUCCESS,QO,2023-08-22,2023-08-22,2023-08-22,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100006021,BS00000878,,100006021,100006021,20230822.0,,3,PHP,-31741.99,-31741.99,4338,13,1
SUCCESS,QO,2023-08-22,2023-08-15,2023-08-15,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100006023,10349 BS 0000883,,100006023,100006023,20230822.0,,2,USD,-3976.34,-216909.35,4332,13,56.75
SUCCESS,QO,2023-08-23,2023-08-22,2023-08-22,,MZ320-C,MARUBENI ASEAN PTE. LTD.,11310,CA18,CHM8,100006039,BS900,,100006039,100006039,20230823.0,,3,USD,-1369.2,-74689.86,4313,13,56.2
SUCCESS,QO,2023-08-30,2023-08-30,2023-08-30,,MW350-C,MARUBENI CORPORATION -,11310,HB02,ADMI,100006141,BS00000881,,100006141,100006141,20230830.0,,3,PHP,-65312.69,-65312.69,4306,13,1
SUCCESS,QO,2023-08-30,2023-08-30,2023-08-30,,MW350-C,MARUBENI CORPORATION -,14112,HB02,ADMI,100006143,BS00000876,,100006143,100006143,20230830.0,,3,PHP,-5580.72,-5580.72,4336,13,1
SUCCESS,QO,2023-08-30,2023-08-30,2023-08-30,,MW350-C,MARUBENI CORPORATION -,14112,HB02,ADMI,100006145,BS00000918,,100006145,100006145,20230830.0,,3,PHP,-1215.2,-1215.2,4344,13,1
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100006183,BS00000931,,100006183,100006183,20230831.0,,3,PHP,-1059.3,-1059.3,4371,13,1
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,4Q04P-C,MCNK JV CORPORATION,14112,MB11,MAC2,100006184,BS00000930,,100006184,100006184,20230831.0,,3,PHP,-7500.0,-7500.0,4370,13,1
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,BR20-C,MARUBENI CORPORATION *,14112,HB02,ADMI,100006229,BS00000875,,100006229,100006229,20230831.0,,2,USD,-2300.72,-127000.0,4335,13,56.75
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,MZ320-C,MARUBENI ASEAN PTE. LTD.,11310,CA12,CHM2,100006410,BS 901-902,,100006410,100006410,20230831.0,,3,USD,-460.5,-25120.28,4311,13,56.75001
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,MJ014-C,MARUBENI CHEMIX,14112,CA18,CHM8,100006411,BS 903,,100006411,100006411,20230831.0,,2,USD,-261.7,-14589.73,4340,13,56.75002
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,MJ028-C,MARUBENI PLAX CORP.,11310,CA19,CHM9,100006412,BS921 898-899,,100006412,100006412,20230831.0,,3,USD,-3435.54,-187408.71,4314,13,56.75
SUCCESS,QO,2023-08-31,2023-08-31,2023-08-31,,MJ028-C,MARUBENI PLAX CORP.,14112,CA19,CHM9,100006412,BS921 898-899,,100006412,100006412,20230831.0,,4,USD,-459.98,-25896.77,4314,13,56.75
SUCCESS,QO,2023-09-11,2023-09-11,2023-09-11,,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100007124,0010386 bs 0000974,,100007124,100007124,20230911.0,,2,USD,-41338.36,-2345951.93,4398,13,56.8
SUCCESS,QO,2023-09-11,2023-09-11,2023-09-11,NOTTING HILL,M186J-C,"MARUBENI PETROLEUM CO., LTD. -",14612,CD12,PET2,100007124,0010386 bs 0000974,NECD12390054,100007124,nan,,,3,USD,0.01,0.57,4398,13,56.8
SUCCESS,QO,2023-09-11,2023-09-08,2023-09-08,,PI003-C,"ISHIDA PHILIPPINES GRATING CO., INC.",11310,CC17,MET6,100007135,BS 895-896,,100007135,100007135,20230911.0,,3,PHP,-23047.92,-23047.92,4330,13,1
SUCCESS,QO,2023-09-14,2023-09-14,2023-09-14,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100007185,BS0000929,,100007185,100007185,20230914.0,,3,PHP,-38540.22,-38540.22,4369,13,1
SUCCESS,QO,2023-09-14,2023-09-14,2023-09-14,,4Q04P-C,MCNK JV CORPORATION,14112,HB02,ADMI,100007186,BS0000942,,100007186,100007186,20230914.0,,3,PHP,-32932.35,-32932.35,4397,13,1
SUCCESS,QO,2023-09-19,2023-09-18,2023-09-18,,6D024-C,"COLUMBIA GRAIN INTERNATIONAL, LLC",11310,CF16,FOOD2B,100007282,BS 890 892-893,,100007282,100007282,20230919.0,,3,USD,-7835.11,-427405.25,4320,13,56.8
SUCCESS,QO,2023-09-22,2023-09-19,2023-09-19,,MZ320-C,MARUBENI ASEAN PTE. LTD.,11310,CA12,CHM2,100007384,BS 943,,100007384,100007384,20230922.0,,3,USD,-400.0,-22700.0,4399,13,56.8
SUCCESS,QO,2023-09-22,2023-09-18,2023-09-18,,PI069-C,IBIDEN PHILIPPINES INC. -,11310,MC14,MAC14,100007385,15SEP2023_OR10391-95,,100007385,100007385,20230922.0,,3,USD,-20879.85,-1175653.97,4310,13,56.79011
SUCCESS,QO,2023-09-22,2023-09-22,2023-09-22,,4Q04P-C,MCNK JV CORPORATION,14112,MB11,MAC2,100007387,BS0000992,,100007387,100007387,20230922.0,,3,PHP,-7500.0,-7500.0,4434,13,1
SUCCESS,QO,2023-09-22,2023-09-22,2023-09-22,,4Q04P-C,MCNK JV CORPORATION,11310,MB11,MAC2,100007388,BS0000993,,100007388,100007388,20230922.0,,3,PHP,-2984800.0,-2984800.0,4285,13,1
